"","x"
"1",3
"2",0
"3",-1
"4",-4
"5",7
"6",3
"7",7
"8",3
"9",3
"10",-1
"11",-1
"12",5
"13",-4
"14",1
"15",-3
"16",2
"17",-3
"18",1
"19",-2
"20",-3
"21",-4
"22",-2
"23",3
"24",3
"25",3
"26",3
"27",30
"28",2
"29",7
"30",-7
"31",3
"32",2
"33",3
"34",0
"35",3
"36",0
"37",3
"38",-1
"39",3
"40",3
"41",3
"42",2
"43",3
"44",3
"45",-1
"46",3
"47",3
"48",2
"49",3
"50",2
"51",3
"52",8
"53",0
"54",-1
"55",0
"56",0
"57",1
"58",2
"59",2
"60",0
"61",8
"62",0
"63",1
"64",-2
"65",-3
"66",4
"67",0
"68",4
"69",-1
"70",-1
"71",1
"72",-7
"73",3
"74",1
"75",3
"76",1
"77",0
"78",-1
"79",-4
"80",-1
"81",-1
"82",3
