"","x"
"1",0.0011
"2",0.0011
"3",0.0024
"4",0
"5",-0.0018
"6",0.0055
"7",0.0055
"8",-0.0015
"9",0.0047
"10",-1e-04
"11",0.0031
"12",0.0031
"13",0.0052
"14",0.0034
"15",0.0027
"16",0.0041
"17",0.0041
"18",0.0034
"19",0.0067
"20",0.0028
"21",0.0083
"22",0.0083
"23",0.003
"24",0.0032
"25",0.0035
"26",0.0041
"27",0.0041
"28",0.0053
"29",0.0026
"30",0.0074
"31",0.0011
"32",0.0011
"33",-1e-04
"34",8e-04
"35",4e-04
"36",0
"37",0
"38",-9e-04
"39",0.0038
"40",0.0054
"41",2e-04
"42",2e-04
"43",0.0036
"44",-4e-04
"45",0.0017
"46",0
"47",0
"48",0.0047
"49",0.0021
"50",0.008
"51",0.0029
"52",0.0029
"53",0.0042
"54",0.0052
"55",0.0056
"56",0.0055
"57",0.0055
"58",0.001
"59",0.0043
"60",6e-04
"61",0.0013
"62",0.0013
"63",8e-04
"64",0.0023
"65",0.0043
"66",0.0013
"67",0.0013
"68",0.0045
"69",0.0037
"70",0.0015
"71",0.0013
"72",0.0013
"73",0.0029
"74",0.0039
"75",-0.0018
"76",0.0016
"77",0.0016
"78",-3e-04
"79",0
"80",9e-04
"81",0.0017
"82",0.0017
"83",0.003
"84",-1e-04
"85",0.007
"86",-8e-04
"87",-8e-04
"88",9e-04
"89",0.0025
"90",0.0031
"91",2e-04
"92",2e-04
"93",0.0022
"94",0.002
"95",3e-04
"96",0.0033
"97",0.0033
"98",0.0044
"99",-0.001
"100",0.0048
"101",0.0019
"102",0.0019
"103",0.0031
"104",0.002
"105",0.0017
"106",0.0014
"107",0.0014
"108",0.0039
"109",0.0052
"110",0.002
"111",0.0012
"112",0.0012
"113",0.0031
"114",0.0022
"115",0.004
"116",0.0038
"117",0.0038
"118",7e-04
"119",0.0016
"120",0.0024
"121",3e-04
"122",3e-04
"123",0.0057
"124",6e-04
"125",9e-04
"126",0.004
"127",0.004
"128",0.0035
"129",0.0032
"130",0.0068
"131",0.0028
"132",0.0028
"133",0.0048
"134",0.0035
"135",0.0042
"136",-0.002
"137",-0.002
"138",0.0023
"139",-0.0011
"140",0.0062
"141",-0.0021
"142",-0.0021
"143",0
"144",-0.0019
"145",-5e-04
"146",0.0048
"147",0.0048
"148",0.0027
"149",9e-04
"150",-2e-04
"151",0.0079
"152",0.0079
"153",0.0017
"154",0.0034
"155",0.003
"156",0.0025
"157",0.0025
"158",4e-04
"159",0.0031
"160",0.0057
"161",-3e-04
"162",-3e-04
"163",6e-04
"164",0.0018
"165",0.0022
"166",0.0042
"167",0.0042
"168",0.0055
"169",-5e-04
"170",-0.0053
"171",0.0028
"172",0.0028
"173",5e-04
"174",0.0036
"175",0.0017
"176",-0.0043
"177",-0.0043
"178",0.0066
"179",-0.0016
"180",0.0055
"181",-0.0011
"182",-0.0011
"183",-0.0049
"184",0.0047
"185",0.0056
"186",0.0057
"187",0.0057
"188",-2e-04
"189",0.0056
"190",0.0037
"191",0.0012
"192",0.0012
"193",0.0018
"194",-0.0025
"195",-0.0011
"196",0.0027
"197",0.0027
"198",0.0039
"199",0.0058
"200",3e-04
"201",0.004
"202",0.004
"203",0.0042
"204",0
"205",0.0056
"206",-0.0029
"207",-0.0029
"208",-0.0026
"209",0.0016
"210",0.0019
"211",0.0015
"212",0.0015
"213",7e-04
"214",7e-04
"215",-0.0044
"216",-0.003
"217",-0.003
"218",0.0013
"219",0.0029
"220",-0.001
"221",9e-04
"222",9e-04
"223",-0.0016
"224",0
"225",0
"226",0.0014
"227",0.0014
"228",-3e-04
"229",9e-04
"230",-0.0068
"231",3e-04
"232",3e-04
"233",-0.0012
"234",0.0037
"235",-0.0019
"236",0.0023
"237",0.0023
"238",-0.0033
"239",-2e-04
"240",-0.001
"241",0.0021
"242",0.0021
"243",0.0026
"244",-2e-04
"245",0.0011
"246",0.0028
"247",0.0028
"248",-4e-04
"249",0.0026
"250",-0.0015
"251",2e-04
"252",2e-04
"253",0.0018
"254",-5e-04
"255",4e-04
"256",-8e-04
"257",-8e-04
"258",0.0018
"259",0.0019
"260",0.0029
"261",-0.0022
"262",-0.0022
"263",0.001
"264",-0.0033
"265",0.002
"266",0
"267",0
"268",3e-04
"269",7e-04
"270",-9e-04
"271",-0.0035
"272",-0.0035
"273",0.001
"274",7e-04
"275",0.0028
"276",-8e-04
"277",-8e-04
"278",-0.0034
"279",-0.001
"280",-0.0018
"281",-0.0021
"282",-0.0021
"283",-6e-04
"284",-0.0018
"285",-0.0046
"286",-0.0017
"287",-0.0017
"288",-1e-04
"289",-0.0029
"290",0.002
"291",-0.0049
"292",-0.0049
"293",-0.0021
"294",-0.0027
"295",-0.0018
"296",-0.0015
"297",-0.0015
"298",0.0051
"299",-2e-04
"300",0
"301",-6e-04
"302",-6e-04
"303",-0.0012
"304",0.0012
"305",0
"306",0.0021
"307",0.0021
"308",-1e-04
"309",0.0022
"310",0.0055
"311",-0.001
"312",-0.001
"313",0.0048
"314",6e-04
"315",0.0026
"316",4e-04
"317",4e-04
"318",0
"319",0
"320",8e-04
"321",0.0044
"322",0.0044
"323",2e-04
"324",0.0036
