ID;Sex;Status;Children;Est_Income;Car_Owner;Usage;Age;RatePlan;LongDistance;International;Local;Dropped;Paymethod;LocalBilltype;LongDistanceBilltype
10001;F;S;1;38000;N;229.64;24.393333;3;23.56;0;206.08;0;CC;Budget;Intnl_discount
10006;M;M;2;29616;N;75.29;49.426667;2;29.78;0;45.5;0;CH;FreeLocal;Standard
10014;F;M;2;52004.8;N;28.14;25.14;1;5.03;0;23.11;0;CH;Budget;Intnl_discount
10017;M;M;2;53010.8;N;58.87;18.84;1;12.45;0;46.42;4;CC;FreeLocal;Standard
10018;M;M;1;75004.5;N;58.72;64.8;1;26.52;0;32.19;0;CC;Budget;Intnl_discount
10021;M;M;0;19749.3;N;34.17;60.366667;3;20.22;0;13.94;0;CC;Budget;Standard
10023;M;M;2;20078;N;15.98;32.846667;4;9.65;0;6.33;0;CC;Budget;Intnl_discount
10024;F;M;2;47902;N;72.31;26.033333;2;17.44;4.94;49.92;1;Auto;FreeLocal;Standard
10029;M;M;1;7545.96;Y;200.75;16.753333;3;22.39;0;178.36;0;CC;Budget;Standard
10036;F;S;1;17540.7;Y;36.2;62.786667;4;22.17;0.57;13.45;0;Auto;Budget;Standard
10040;F;S;0;28589.1;N;100.28;15.6;4;13.19;0;87.09;0;CC;FreeLocal;Standard
10042;F;M;2;5237.63;N;78.02;48.753333;2;13.32;8.05;56.64;0;CC;Budget;Standard
10045;M;S;2;89459.9;N;36.05;53.28;2;11.54;1.61;22.9;0;CC;FreeLocal;Standard
10048;F;S;1;13576.5;N;40.49;39.426667;1;14.83;0;25.66;0;CC;Budget;Standard
10053;F;M;1;57063;Y;98.1;52.333333;4;16.79;0;81.3;0;CH;Budget;Standard
10054;F;M;2;84166.1;N;15.02;54.013333;2;3.28;0;11.74;1;CC;Budget;Standard
10060;F;S;1;7737.94;N;61.9;42.666667;4;11.05;0;50.84;0;CC;FreeLocal;Standard
10061;M;S;2;100020;N;314.62;50;4;21.37;0;293.24;0;CH;Budget;Standard
10062;F;M;2;45287.6;Y;2.97;29.026667;3;0;0;2.97;0;CC;Budget;Standard
10065;F;S;1;16326.7;N;1.34;50.613333;1;0;0;1.34;0;CC;FreeLocal;Intnl_discount
10068;F;S;2;9559.78;N;77.91;51.38;3;18.31;0;59.59;0;CC;FreeLocal;Standard
10073;F;M;2;83284.1;Y;35.96;28.42;4;26.91;0;9.04;0;Auto;FreeLocal;Intnl_discount
10077;M;S;0;3601.71;N;125.6;49.266667;4;9.57;4.19;111.84;0;Auto;Budget;Intnl_discount
10079;F;S;0;98716.3;N;43.13;55.66;4;20.97;8.23;13.92;0;CC;FreeLocal;Standard
10080;F;S;2;66182.7;Y;58.87;62.48;2;11.7;0;47.17;0;Auto;Budget;Standard
10084;F;M;0;32703.1;Y;72.89;64.92;4;16.8;0;56.09;0;CC;Budget;Intnl_discount
10085;F;M;1;77129.1;Y;44.85;61.846667;4;24.77;0;20.07;0;CH;FreeLocal;Intnl_discount
10088;F;M;0;80405.1;N;28.98;60.226667;4;2.91;8.95;17.11;0;CC;FreeLocal;Standard
10089;F;S;2;38280;N;86.61;33.74;4;11.64;0;74.97;0;Auto;FreeLocal;Intnl_discount
