T;P;S;F;C
180;70;h;2;brun
177;57;h;3;brun
180;60;h;1;bleu
180;66;h;0;brun
183;62;h;6;vert
184;68;h;0;brun
185;65;h;1;noir
184;72;h;2;brun
174;65;h;3;noir
180;72;h;2;brun
168;52;h;3;brun
180;75;h;0;bleu
183;75;h;2;brun
181;68;h;0;bleu
180;65;h;4;brun
190;66;h;1;brun
183;78;h;0;bleu
167;60;h;4;bleu
181;67;h;0;brun
179;98;h;2;brun
173;75;h;1;vert
170;68;h;1;gris
170;59;h;3;brun
183;72;h;2;bleu
179;73;h;3;vert
180;72;h;3;bleu
188;70;h;2;brun
176;65;h;1;vert
178;72;h;1;brun
185;71;h;1;bleu
168;52;f;0;brun
157;47;f;1;vert
167;53;f;2;vert
168;57;f;4;bleu
163;65;f;1;brun
167;60;f;2;brun
166;68;f;2;bleu
164;49;f;7;vert
172;57;f;3;brun
165;59;f;2;bleu
158;62;f;0;brun
161;65;f;1;brun
160;61;f;1;bleu
162;58;f;2;brun
165;58;f;5;brun
